Record_ID,HTS_Code,Product_Description,Company,Country_of_Origin,Country_Code,Material_Cost_USD,Tariff_Rate_Percent,Tariff_Amount_USD,MPF_USD,Other_Fees_USD,Landed_Cost_USD,Material_Composition,Primary_Material,Quantity,Unit_Price_USD,Total_Value_USD,Import_Date,Port_of_Entry,FTA_Applicable,Alternative_Country,Potential_Savings_Percent,Potential_Savings_USD,Risk_Level,Compliance_Status,Last_Updated
TR000001,6217.10.1000,Accessories of apparel,IKEA,India,IN,109.93,13.79,15.16,0.38,1.54,127.01,"66.2% Cotton, 33.8% Aluminum",Cotton,566,109.93,62222.13,2024-02-01,"Charleston, SC",No,Thailand,4.49,2795.91,High,Non-Compliant,2025-07-18 11:51:22
TR000002,9403.60.8081,Wooden furniture for bedrooms,Stanley Black & Decker,Japan,JP,15.45,4.62,0.71,0.05,1.2,17.42,"73.3% Leather, 26.7% Cotton",Leather,8422,15.45,130088.32,2025-04-16,"New York, NY",No,Malaysia,0.0,0.0,High,Non-Compliant,2025-07-18 11:51:22
TR000003,8467.21.0030,"Drills with self-contained electric motor, cordless",Dell Technologies,France,FR,27.68,2.56,0.71,0.1,0.54,29.03,"72.2% Plastic, 27.8% Glass",Plastic,6496,27.68,179827.68,2024-04-04,"Charleston, SC",CPTPP,Canada,2.56,4605.48,Medium,Compliant,2025-07-18 11:51:22
TR000004,8310.00.0000,"Sign-plates, name-plates, address-plates and similar plates",Johnson & Johnson,South Korea,KR,65.08,7.79,5.07,0.23,0.8,71.17,"84.5% Leather, 15.5% Aluminum",Leather,7949,65.08,517287.38,2025-05-14,"Long Beach, CA",No,Pakistan,0.0,0.0,Low,Compliant,2025-07-18 11:51:22
TR000005,6116.10.1700,"Gloves, mittens and mitts, impregnated with plastics",KPMG,India,IN,92.95,12.3,11.43,0.32,1.02,105.72,"99.3% Aluminum, 0.7% Leather",Aluminum,1628,92.95,151320.5,2023-10-10,"Houston, TX",No,Italy,8.2,12405.12,High,Compliant,2025-07-18 11:51:22
TR000006,6116.10.1700,"Gloves, mittens and mitts, impregnated with plastics",Toyota Motor Corporation,Mexico,MX,7.44,1.77,0.13,0.03,1.56,9.16,"66.8% Silicone, 33.2% Steel",Silicone,5493,7.44,40891.74,2025-06-03,"Seattle, WA",Yes,Canada,1.77,724.71,Low,Compliant,2025-07-18 11:51:22
TR000007,6204.63.3510,Women's or girls' trousers of cotton,Adidas AG,Malaysia,MY,15.1,6.7,1.01,0.05,1.74,17.91,"77.6% Steel, 22.4% Polyester",Steel,9770,15.1,147546.35,2023-11-17,"New York, NY",CPTPP,Philippines,0.0,0.0,Medium,Compliant,2025-07-18 11:51:22
TR000008,9401.80.4016,Seats with wooden frames,Ford Motor Company,Pakistan,PK,91.69,15.99,14.67,0.32,2.1,108.78,"66.9% Aluminum, 33.1% Plastic",Aluminum,3252,91.69,298190.52,2025-01-29,"Houston, TX",No,South Korea,9.29,27716.45,High,Compliant,2025-07-18 11:51:22
TR000009,9401.80.4016,Seats with wooden frames,Toyota Motor Corporation,Germany,DE,47.1,4.85,2.28,0.16,1.35,50.89,"81.9% Leather, 18.1% Steel",Leather,8089,47.1,380998.42,2024-05-10,"Charleston, SC",No,Vietnam,0.0,0.0,Low,Compliant,2025-07-18 11:51:22
TR000010,9018.32.0000,Tubular metal needles,Under Armour Inc.,Turkey,TR,5.18,3.36,0.17,0.02,2.12,7.49,"78.0% Steel, 22.0% Polyester",Steel,4397,5.18,22782.34,2023-08-27,"Seattle, WA",No,United Kingdom,0.56,127.2,Medium,Under Review,2025-07-18 11:51:22
